ID,用户ID,项目结构ID,权限
998016,58,482628,8
998015,57,482628,8
998014,56,482628,8
998013,55,482628,8
998012,52,482628,8
998011,51,482628,8
998010,50,482628,8
998009,1,482628,8
998008,58,482628,7
998007,57,482628,7
998006,56,482628,7
998005,55,482628,7
998004,52,482628,7
998003,51,482628,7
998002,50,482628,7
998001,1,482628,7
998000,58,482628,6
997999,57,482628,6
997998,56,482628,6
997997,55,482628,6
997996,52,482628,6
997995,51,482628,6
997994,50,482628,6
997993,1,482628,6
997992,58,482628,5
997991,57,482628,5
997990,56,482628,5
997989,55,482628,5
997988,52,482628,5
997987,51,482628,5
997986,50,482628,5
997985,1,482628,5
997984,58,482628,4
997983,57,482628,4
997982,56,482628,4
997981,55,482628,4
997980,52,482628,4
997979,51,482628,4
997978,50,482628,4
997977,1,482628,4
997976,58,482628,3
997975,57,482628,3
997974,56,482628,3
997973,55,482628,3
997972,52,482628,3
997971,51,482628,3
997970,50,482628,3
997969,1,482628,3
997968,58,482628,2
997967,57,482628,2
997966,56,482628,2
997965,55,482628,2
997964,52,482628,2
997963,51,482628,2
997962,50,482628,2
997961,1,482628,2
997960,58,482627,8
997959,57,482627,8
997958,56,482627,8
997957,55,482627,8
997956,52,482627,8
997955,51,482627,8
997954,50,482627,8
997953,1,482627,8
997952,58,482627,7
997951,57,482627,7
997950,56,482627,7
997949,55,482627,7
997948,52,482627,7
997947,51,482627,7
997946,50,482627,7
997945,1,482627,7
997944,58,482627,6
997943,57,482627,6
997942,56,482627,6
997941,55,482627,6
997940,52,482627,6
997939,51,482627,6
997938,50,482627,6
997937,1,482627,6
997936,58,482627,5
997935,57,482627,5
997934,56,482627,5
997933,55,482627,5
997932,52,482627,5
997931,51,482627,5
997930,50,482627,5
997929,1,482627,5
997928,58,482627,4
997927,57,482627,4
997926,56,482627,4
997925,55,482627,4
997924,52,482627,4
997923,51,482627,4
997922,50,482627,4
997921,1,482627,4
997920,58,482627,3
997919,57,482627,3
997918,56,482627,3
997917,55,482627,3
997916,52,482627,3
997915,51,482627,3
997914,50,482627,3
997913,1,482627,3
997912,58,482627,2
997911,57,482627,2
997910,56,482627,2
997909,55,482627,2
997908,52,482627,2
997907,51,482627,2
997906,50,482627,2
997905,1,482627,2
